ID,sex,age,address,famsize,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,absences,result
14,F,17,Rural,greater than 3 persons,secondary education,5th to 9th grade,at_home,other,course,father,less than 15 min.,2 to 5 hours,1,no,no,no,no,yes,yes,no,good,very high,0,1
15,F,17,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,other,father,less than 15 min.,less than 2 hours,1,no,yes,no,no,no,no,yes,excellent,high,0,0
16,F,15,Rural,greater than 3 persons,higher education,higher education,teacher,other,course,mother,15 to 30 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,very bad,very high,0,1
17,F,16,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,at_home,other,reputation,mother,15 to 30 min.,more than 10 hours,0,no,no,no,yes,no,no,no,very bad,low,4,1
18,F,15,Rural,3 persons or less,primary education (4th grade),primary education (4th grade),at_home,services,reputation,father,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,excellent,high,0,1
19,F,15,Rural,3 persons or less,primary education (4th grade),primary education (4th grade),other,services,course,mother,15 to 30 min.,less than 2 hours,1,no,yes,no,no,yes,yes,yes,good,high,4,0
20,F,17,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,other,course,father,less than 15 min.,2 to 5 hours,0,no,yes,no,no,no,yes,yes,excellent,medium,2,1
21,F,15,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),at_home,other,other,mother,less than 15 min.,2 to 5 hours,0,yes,no,no,no,yes,yes,yes,good,medium,6,1
22,F,15,Urban,greater than 3 persons,higher education,5th to 9th grade,health,services,home,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,normal,low,0,1
23,F,16,Urban,greater than 3 persons,secondary education,secondary education,other,other,home,father,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,good,medium,0,1
24,M,16,Urban,3 persons or less,higher education,secondary education,services,other,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,excellent,high,6,1
25,M,16,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,other,other,home,mother,less than 15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,good,high,0,1
26,F,17,Urban,greater than 3 persons,higher education,higher education,other,teacher,home,mother,15 to 30 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,good,very low,2,1
27,M,15,Urban,3 persons or less,secondary education,5th to 9th grade,services,other,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,low,0,1
28,M,15,Urban,greater than 3 persons,secondary education,higher education,other,other,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,excellent,very high,0,1
29,F,15,Urban,greater than 3 persons,higher education,higher education,teacher,health,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,normal,medium,2,1
30,F,15,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),services,other,reputation,father,30 min. to 1 hour,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,excellent,low,0,1
31,M,15,Urban,3 persons or less,higher education,higher education,health,services,course,father,less than 15 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,0,1
32,M,15,Urban,greater than 3 persons,higher education,secondary education,teacher,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,excellent,high,0,1
33,M,15,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,home,other,less than 15 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,good,very high,0,1
34,F,16,Urban,greater than 3 persons,,higher education,health,other,home,mother,less than 15 min.,less than 2 hours,0,no,yes,no,no,yes,yes,yes,good,high,6,1
35,F,16,Urban,greater than 3 persons,higher education,higher education,services,services,reputation,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,normal,low,10,1
36,F,16,Urban,greater than 3 persons,secondary education,secondary education,other,other,reputation,mother,30 min. to 1 hour,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,excellent,medium,2,1
37,M,17,Urban,greater than 3 persons,secondary education,5th to 9th grade,services,services,course,mother,less than 15 min.,less than 2 hours,3,no,yes,yes,yes,yes,yes,yes,excellent,very high,2,0
38,M,16,Urban,3 persons or less,higher education,secondary education,health,other,home,father,less than 15 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,normal,very low,6,1
39,M,15,Urban,greater than 3 persons,higher education,secondary education,teacher,other,reputation,mother,less than 15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,good,high,0,1
40,M,15,Urban,greater than 3 persons,higher education,higher education,health,health,other,father,less than 15 min.,less than 2 hours,0,no,yes,yes,no,yes,yes,yes,excellent,high,0,1
41,M,16,Urban,3 persons or less,higher education,5th to 9th grade,teacher,other,course,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,good,very high,0,1
42,M,16,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,excellent,high,2,1
43,F,15,Rural,greater than 3 persons,5th to 9th grade,higher education,services,health,course,mother,less than 15 min.,5 to 10 hours,0,yes,yes,no,yes,yes,yes,yes,good,medium,2,1
44,F,16,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,services,services,home,mother,less than 15 min.,less than 2 hours,0,no,yes,no,no,no,yes,yes,very bad,low,6,1
45,M,15,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,home,mother,less than 15 min.,less than 2 hours,0,no,yes,no,no,yes,yes,yes,good,low,8,1
46,M,15,Urban,greater than 3 persons,higher education,5th to 9th grade,health,services,other,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,bad,low,0,1
47,M,16,Urban,3 persons or less,secondary education,higher education,services,other,home,mother,less than 15 min.,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,excellent,medium,2,1
48,M,16,Urban,greater than 3 persons,higher education,higher education,teacher,teacher,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,good,high,4,1
49,M,15,Urban,greater than 3 persons,higher education,higher education,health,services,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,excellent,high,0,1
50,M,15,Urban,greater than 3 persons,higher education,higher education,services,services,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,2,1
51,M,15,Rural,greater than 3 persons,higher education,secondary education,teacher,at_home,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,very high,0,1
52,M,15,Urban,3 persons or less,secondary education,,other,other,course,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,excellent,medium,0,1
53,M,16,Urban,greater than 3 persons,secondary education,5th to 9th grade,other,other,home,mother,less than 15 min.,less than 2 hours,0,no,yes,no,no,no,yes,yes,excellent,high,4,1
54,F,15,Urban,greater than 3 persons,5th to 9th grade,secondary education,other,other,other,father,15 to 30 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,no,normal,very high,4,1
55,M,15,Urban,3 persons or less,higher education,secondary education,teacher,services,home,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,excellent,high,0,1
56,M,16,Rural,greater than 3 persons,higher education,higher education,other,teacher,reputation,mother,15 to 30 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,bad,high,4,1
57,F,15,Rural,greater than 3 persons,secondary education,higher education,services,health,course,mother,less than 15 min.,5 to 10 hours,0,yes,yes,no,yes,yes,yes,yes,good,medium,2,1
58,F,15,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,at_home,other,reputation,mother,less than 15 min.,less than 2 hours,0,yes,yes,no,yes,yes,yes,no,good,medium,8,1
59,F,16,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,other,other,home,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,no,yes,yes,normal,medium,16,1
60,M,15,Urban,3 persons or less,higher education,higher education,teacher,other,home,other,less than 15 min.,less than 2 hours,0,no,yes,no,no,no,yes,yes,excellent,high,8,1
61,M,15,Urban,greater than 3 persons,higher education,higher education,services,teacher,course,father,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,0,1
62,M,15,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,services,services,course,father,less than 15 min.,less than 2 hours,0,yes,yes,no,no,yes,yes,yes,excellent,high,0,1
63,F,16,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,other,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,excellent,medium,2,1
64,F,15,Urban,greater than 3 persons,higher education,secondary education,services,services,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,0,1
65,M,15,Urban,greater than 3 persons,higher education,higher education,teacher,health,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,normal,low,8,1
66,M,15,Urban,3 persons or less,primary education (4th grade),5th to 9th grade,other,at_home,home,father,less than 15 min.,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,good,medium,0,1
67,F,16,Urban,greater than 3 persons,higher education,5th to 9th grade,services,other,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,good,low,2,1
68,F,16,Rural,greater than 3 persons,higher education,higher education,health,teacher,other,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,bad,high,0,1
69,F,16,Urban,greater than 3 persons,,primary education (4th grade),services,services,course,father,more than 1 hour,less than 2 hours,0,yes,yes,no,yes,no,yes,yes,excellent,very high,0,1
70,F,16,Urban,3 persons or less,primary education (4th grade),5th to 9th grade,other,services,reputation,father,less than 15 min.,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,good,high,0,1
71,F,16,Urban,greater than 3 persons,higher education,secondary education,teacher,health,home,mother,less than 15 min.,5 to 10 hours,0,yes,yes,no,yes,yes,yes,yes,normal,high,0,1
72,F,15,Urban,3 persons or less,higher education,secondary education,services,services,reputation,father,less than 15 min.,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,good,high,0,1
73,F,16,Urban,3 persons or less,higher education,secondary education,teacher,services,course,mother,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,excellent,high,2,1
74,M,15,Urban,greater than 3 persons,higher education,higher education,other,services,reputation,mother,less than 15 min.,more than 10 hours,0,no,yes,no,yes,no,yes,yes,very bad,medium,0,1
75,F,16,Urban,greater than 3 persons,secondary education,primary education (4th grade),services,other,course,mother,less than 15 min.,more than 10 hours,0,yes,yes,no,no,yes,yes,yes,good,medium,0,1
76,F,15,Rural,3 persons or less,5th to 9th grade,5th to 9th grade,health,services,reputation,mother,15 to 30 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,yes,good,very low,0,1
77,F,15,Rural,3 persons or less,secondary education,primary education (4th grade),other,other,reputation,father,15 to 30 min.,more than 10 hours,0,no,yes,no,no,no,yes,yes,good,high,6,1
78,M,16,Urban,greater than 3 persons,secondary education,primary education (4th grade),other,other,reputation,father,15 to 30 min.,more than 10 hours,0,no,yes,no,no,yes,yes,yes,good,medium,2,1
79,M,15,Urban,greater than 3 persons,higher education,5th to 9th grade,other,other,course,mother,less than 15 min.,more than 10 hours,0,no,no,no,no,yes,yes,yes,normal,medium,0,1
80,F,15,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,reputation,mother,less than 15 min.,2 to 5 hours,0,yes,yes,no,no,no,yes,yes,normal,medium,2,1
81,M,16,Urban,greater than 3 persons,secondary education,primary education (4th grade),other,other,reputation,mother,less than 15 min.,less than 2 hours,0,no,no,no,yes,yes,yes,no,excellent,medium,0,1
82,F,16,Urban,greater than 3 persons,secondary education,,other,services,home,mother,less than 15 min.,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,good,medium,4,1
83,M,15,Urban,greater than 3 persons,higher education,secondary education,teacher,other,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,0,1
84,M,15,Urban,greater than 3 persons,higher education,none,teacher,other,course,mother,15 to 30 min.,more than 10 hours,0,no,no,no,yes,yes,yes,yes,normal,high,0,1
85,F,16,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,less than 15 min.,more than 10 hours,0,no,no,no,no,yes,yes,yes,excellent,low,1,1
86,M,17,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,home,mother,15 to 30 min.,less than 2 hours,3,yes,yes,no,yes,yes,no,yes,good,very high,0,1
87,F,16,Urban,greater than 3 persons,secondary education,higher education,at_home,other,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,bad,high,14,1
88,M,15,Urban,greater than 3 persons,5th to 9th grade,secondary education,other,services,course,father,less than 15 min.,less than 2 hours,0,yes,yes,no,yes,no,yes,yes,normal,low,0,1
89,M,15,Urban,greater than 3 persons,5th to 9th grade,secondary education,other,other,home,mother,less than 15 min.,5 to 10 hours,0,yes,no,no,no,no,yes,yes,excellent,medium,2,0
90,F,15,Urban,3 persons or less,secondary education,5th to 9th grade,services,other,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,high,4,1
91,M,15,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,services,services,home,mother,15 to 30 min.,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,excellent,medium,2,1
92,F,15,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,home,father,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,no,yes,yes,good,medium,2,1
93,F,15,Urban,greater than 3 persons,higher education,higher education,services,services,reputation,father,15 to 30 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,good,high,4,1
94,F,16,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,at_home,other,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,good,medium,6,1
95,F,15,Urban,greater than 3 persons,higher education,5th to 9th grade,other,other,reputation,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,excellent,medium,4,1
96,M,16,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,services,other,reputation,father,15 to 30 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,good,high,6,1
97,M,16,Urban,3 persons or less,higher education,higher education,teacher,health,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,good,very low,6,1
98,F,16,Urban,greater than 3 persons,secondary education,secondary education,other,other,home,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,good,medium,2,1
99,F,15,Urban,greater than 3 persons,higher education,secondary education,services,other,reputation,mother,less than 15 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,good,very high,6,1
100,F,16,Urban,3 persons or less,secondary education,primary education (4th grade),other,other,home,father,less than 15 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,normal,medium,0,1
101,F,16,Urban,greater than 3 persons,higher education,5th to 9th grade,teacher,services,home,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,excellent,medium,2,1
102,M,15,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,services,health,reputation,,less than 15 min.,more than 10 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,2,1
103,F,15,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,other,home,mother,15 to 30 min.,more than 10 hours,0,yes,yes,yes,yes,yes,yes,yes,normal,very low,4,1
104,M,16,Rural,greater than 3 persons,higher education,secondary education,services,other,reputation,mother,15 to 30 min.,less than 2 hours,0,yes,yes,yes,yes,no,yes,yes,normal,medium,6,1
105,F,16,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,good,medium,0,1
106,F,16,Urban,greater than 3 persons,higher education,higher education,other,other,reputation,mother,less than 15 min.,less than 2 hours,0,no,no,no,yes,no,yes,yes,excellent,medium,4,1
107,F,16,Urban,greater than 3 persons,higher education,secondary education,other,at_home,course,mother,less than 15 min.,5 to 10 hours,0,yes,yes,no,no,yes,yes,yes,excellent,medium,2,1
108,M,16,Urban,greater than 3 persons,higher education,,services,services,other,mother,less than 15 min.,less than 2 hours,0,yes,yes,no,yes,yes,yes,yes,good,very high,12,0
109,M,16,Urban,greater than 3 persons,higher education,higher education,services,teacher,other,father,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,good,high,0,1
110,M,15,Urban,greater than 3 persons,higher education,higher education,services,other,course,mother,less than 15 min.,less than 2 hours,0,no,yes,yes,yes,no,yes,yes,excellent,medium,2,1
111,F,15,Urban,greater than 3 persons,secondary education,5th to 9th grade,services,other,home,mother,15 to 30 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,yes,good,medium,16,1
112,M,15,Urban,greater than 3 persons,secondary education,higher education,services,other,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,excellent,high,0,1
113,F,16,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,other,at_home,course,father,15 to 30 min.,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,good,medium,14,1
114,F,15,Urban,3 persons or less,higher education,secondary education,other,other,course,mother,less than 15 min.,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,excellent,low,4,1
115,F,16,Urban,3 persons or less,secondary education,secondary education,other,services,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,bad,medium,6,1
116,M,16,Urban,greater than 3 persons,higher education,secondary education,health,services,reputation,mother,less than 15 min.,more than 10 hours,0,no,no,no,yes,yes,yes,yes,good,low,2,1
117,M,15,Urban,greater than 3 persons,higher education,5th to 9th grade,teacher,other,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,good,medium,4,1
118,F,15,Urban,greater than 3 persons,higher education,higher education,services,teacher,other,father,less than 15 min.,2 to 5 hours,0,yes,yes,no,yes,no,yes,yes,good,high,2,1
119,F,16,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,services,services,course,mother,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,medium,0,1
120,F,15,Urban,3 persons or less,higher education,5th to 9th grade,health,other,other,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,medium,0,1
121,M,15,Urban,3 persons or less,higher education,5th to 9th grade,health,health,other,father,15 to 30 min.,less than 2 hours,0,no,no,no,no,yes,yes,no,excellent,very high,4,0
122,F,15,Urban,greater than 3 persons,higher education,higher education,services,services,course,mother,less than 15 min.,less than 2 hours,0,yes,yes,no,no,yes,yes,yes,normal,medium,0,1
123,F,15,Urban,3 persons or less,secondary education,secondary education,other,other,other,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,excellent,medium,0,1
124,F,15,Urban,greater than 3 persons,secondary education,secondary education,other,health,reputation,father,less than 15 min.,more than 10 hours,0,yes,no,no,no,yes,yes,no,good,medium,10,1
125,F,15,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,course,mother,less than 15 min.,more than 10 hours,0,yes,yes,no,no,yes,yes,yes,excellent,very low,4,1
126,M,16,Urban,greater than 3 persons,secondary education,secondary education,services,other,home,father,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,excellent,medium,4,1
127,M,15,Rural,greater than 3 persons,higher education,higher education,other,other,home,father,more than 1 hour,more than 10 hours,0,no,yes,no,yes,yes,yes,yes,very bad,medium,8,1
128,F,16,Urban,3 persons or less,higher education,higher education,health,health,other,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,excellent,high,2,1
129,M,15,Urban,3 persons or less,higher education,higher education,teacher,teacher,course,mother,less than 15 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,excellent,very high,4,1
130,F,16,Rural,greater than 3 persons,secondary education,secondary education,services,other,reputation,father,less than 15 min.,5 to 10 hours,0,yes,yes,no,yes,yes,yes,yes,good,very low,4,1
131,F,16,Urban,greater than 3 persons,,5th to 9th grade,at_home,other,home,mother,less than 15 min.,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,normal,very low,12,1
132,M,15,Urban,3 persons or less,higher education,5th to 9th grade,teacher,other,course,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,normal,very high,10,1
133,M,15,Rural,greater than 3 persons,5th to 9th grade,primary education (4th grade),health,services,reputation,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,excellent,high,4,1
134,M,16,Urban,greater than 3 persons,higher education,higher education,teacher,teacher,course,father,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,excellent,high,6,1
135,M,15,Urban,greater than 3 persons,higher education,higher education,other,teacher,reputation,father,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,good,high,4,1
136,M,16,Urban,greater than 3 persons,secondary education,secondary education,other,services,home,father,15 to 30 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,excellent,high,6,1
137,M,17,Rural,greater than 3 persons,primary education (4th grade),secondary education,other,other,course,father,30 min. to 1 hour,2 to 5 hours,1,no,yes,no,yes,yes,yes,yes,excellent,low,14,1
138,M,15,Urban,greater than 3 persons,secondary education,higher education,other,other,reputation,father,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,normal,high,2,1
139,F,15,Urban,greater than 3 persons,primary education (4th grade),5th to 9th grade,at_home,services,course,mother,less than 15 min.,2 to 5 hours,0,no,no,no,no,no,yes,yes,normal,low,0,1
140,M,15,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,services,services,home,father,less than 15 min.,more than 10 hours,0,no,yes,no,yes,yes,yes,yes,excellent,very high,6,1
141,F,16,Urban,3 persons or less,5th to 9th grade,higher education,other,health,course,father,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,low,2,1
142,M,16,Urban,greater than 3 persons,higher education,higher education,health,other,course,mother,less than 15 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,yes,normal,high,4,1
143,F,16,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,home,mother,less than 15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,excellent,high,0,1
144,M,15,Urban,greater than 3 persons,secondary education,higher education,services,services,home,father,less than 15 min.,less than 2 hours,0,yes,no,no,no,yes,yes,yes,excellent,very high,2,0
145,F,15,Urban,3 persons or less,secondary education,higher education,other,other,home,mother,less than 15 min.,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,excellent,medium,0,1
146,F,19,Urban,greater than 3 persons,none,primary education (4th grade),at_home,other,course,other,less than 15 min.,2 to 5 hours,2,no,yes,no,no,no,no,no,normal,high,0,1
147,M,16,Rural,greater than 3 persons,higher education,higher education,teacher,teacher,course,mother,less than 15 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,normal,very high,8,1
148,M,16,Urban,greater than 3 persons,5th to 9th grade,secondary education,other,other,course,mother,15 to 30 min.,5 to 10 hours,0,no,yes,no,no,no,yes,yes,normal,low,4,1
149,F,15,Rural,greater than 3 persons,secondary education,higher education,services,teacher,course,father,15 to 30 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,good,low,0,1
150,F,18,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),services,other,reputation,mother,less than 15 min.,2 to 5 hours,3,no,yes,no,yes,yes,no,yes,excellent,high,10,0
151,F,17,Urban,3 persons or less,5th to 9th grade,primary education (4th grade),other,other,course,mother,30 min. to 1 hour,less than 2 hours,0,no,yes,no,no,yes,yes,yes,normal,low,8,1
152,F,15,Urban,greater than 3 persons,primary education (4th grade),,at_home,other,course,mother,30 min. to 1 hour,less than 2 hours,0,no,yes,no,yes,no,yes,yes,good,medium,6,1
153,F,17,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,other,other,course,father,less than 15 min.,less than 2 hours,0,no,yes,no,no,yes,yes,yes,normal,high,2,1
154,F,16,Urban,greater than 3 persons,secondary education,higher education,services,other,course,father,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,normal,low,12,1
155,M,16,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),at_home,other,course,mother,more than 1 hour,less than 2 hours,0,no,no,no,no,yes,yes,no,normal,low,4,1
156,F,16,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,home,mother,less than 15 min.,less than 2 hours,1,no,no,no,no,yes,yes,no,excellent,medium,12,1
157,M,15,Rural,greater than 3 persons,secondary education,higher education,at_home,teacher,course,mother,more than 1 hour,2 to 5 hours,0,no,yes,no,no,yes,yes,no,excellent,medium,2,1
158,F,15,Urban,greater than 3 persons,higher education,higher education,services,at_home,course,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,4,1
